subject_id	panel	gene_symbol	pt1_pr1	pt2_pr2	pt2_pt1	pr2_pr1
001B	Cardiometabolic	ACAN	0.4291	-0.1069	-0.2313	0.3047
001B	Cardiometabolic	ACE2	0.2658	0.0831	0.3885	0.5712
001B	Cardiometabolic	ACOX1	0.4514	0.3083	0.2359	0.379
001B	Cardiometabolic	ACP5	0.3212	0.0754	-0.1511	0.0947
001B	Cardiometabolic	ACTA2	-0.1098	0.1892	0.8962	0.5972
001B	Cardiometabolic	ACY1	0.196	0.2705	0.7252	0.6507
001B	Cardiometabolic	ADA2	0.3334	0.4438	0.0706	-0.0398
001B	Cardiometabolic	ADAM15	0.2883	0.0886	-0.028	0.1717
001B	Cardiometabolic	ADAMTS13	0.2727	0.1721	0.0162	0.1168
001B	Cardiometabolic	ADAMTS16	0.0683	0.7125	0.8228	0.1786
001B	Cardiometabolic	ADGRE5	0.1176	0.1857	0.0026	-0.0655
001B	Cardiometabolic	ADGRG2	-0.0701	0.377	0.1263	-0.3208
001B	Cardiometabolic	ADH4	0.4251	0.1587	2.0546	2.321
001B	Cardiometabolic	AGXT	0.0978	0.2744	0.9535	0.7769
001B	Cardiometabolic	AHCY	0.2411	0.4915	0.022	-0.2284
001B	Cardiometabolic	AK1	-0.8894	0.4289	0.6385	-0.6798
001B	Cardiometabolic	AKR1C4	-0.4963	-1.1471	-0.6579	-0.0071
001B	Cardiometabolic	ALCAM	0.1757	0.1913	0.1188	0.1032
001B	Cardiometabolic	AMY2A	0.298	0.193	0.1125	0.2175
001B	Cardiometabolic	AMY2B	0.3603	0.2188	-0.1169	0.0246
001B	Cardiometabolic	ANG	0.3553	0.5542	0.1528	-0.0461
001B	Cardiometabolic	ANGPTL1	-0.0256	0.3373	0.4359	0.073
001B	Cardiometabolic	ANGPTL3	0.2687	0.248	0.123	0.1437
001B	Cardiometabolic	ANPEP	0.1793	0.2803	0.1158	0.0148
001B	Cardiometabolic	ANXA4	0.4295	0.6589	-0.133	-0.3624
001B	Cardiometabolic	AOC3	0.3722	0.3596	0.0535	0.0661
001B	Cardiometabolic	APLP1	0.476	-0.7087	-0.4039	0.7808
001B	Cardiometabolic	APOM	0.445	0.5067	0.2012	0.1395
001B	Cardiometabolic	ART3	0.2268	0.4605	0.2452	0.0115
001B	Cardiometabolic	AXL	0.2404	0.3603	0.1888	0.0689
001B	Cardiometabolic	AZU1	0.3609	0.7647	-0.6674	-1.0712
001B	Cardiometabolic	BAG6	0.0674	0.5661	0.0144	-0.4843
001B	Cardiometabolic	BLMH	0.2502	0.253	0.0478	0.045
001B	Cardiometabolic	BMP6	-0.1138	0.4598	0.6987	0.1251
001B	Cardiometabolic	BOC	-0.1911	-0.0939	0.2758	0.1786
001B	Cardiometabolic	BPIFB1	0.2468	0.1958	-0.1991	-0.1481
001B	Cardiometabolic	C1QTNF1	0.2829	0.6091	0.153	-0.1732
001B	Cardiometabolic	C2	0.4055	0.41	-0.0489	-0.0534
001B	Cardiometabolic	CA1	0.0105	0.1771	0.2477	0.0811
001B	Cardiometabolic	CA13	0.749	1.0693	-0.5671	-0.8874
001B	Cardiometabolic	CA3	-0.1048	-0.1431	-0.0047	0.0336
001B	Cardiometabolic	CA4	0.2165	0.2346	0.0417	0.0236
001B	Cardiometabolic	CA5A	0.5464	0.427	1.188	1.3074
001B	Cardiometabolic	CANT1	0.2954	0.0286	0.0679	0.3347
001B	Cardiometabolic	CASP3	0.6365	0.918	-0.5115	-0.793
001B	Cardiometabolic	CBLIF	0.2319	-0.063	-0.0024	0.2925
001B	Cardiometabolic	CCDC80	0.007	-0.1727	0.185	0.3647
001B	Cardiometabolic	CCL14	0.1793	0.5951	0.264	-0.1518
001B	Cardiometabolic	CCL15	-0.0122	-0.3404	-0.119	0.2092
001B	Cardiometabolic	CCL16	0.2684	-0.0967	-0.4288	-0.0637
001B	Cardiometabolic	CCL18	0.3587	0.172	-0.3828	-0.1961
001B	Cardiometabolic	CCL27	-0.1158	1.7411	0.4736	-1.3833
001B	Cardiometabolic	CCL5	0.7348	1.175	-0.6468	-1.087
001B	Cardiometabolic	CCN3	0.1231	0.0668	-0.0168	0.0395
001B	Cardiometabolic	CD14	0.5016	0.3257	-0.1812	-0.0053
001B	Cardiometabolic	CD163	0.2827	0.3502	-0.0363	-0.1038
001B	Cardiometabolic	CD209	0.0795	0.1003	-0.0523	-0.0731
001B	Cardiometabolic	CD2AP	0.4686	0.5151	-0.5601	-0.6066
001B	Cardiometabolic	CD46	0.3262	0.4413	0.1461	0.031
001B	Cardiometabolic	CD55	0.1938	0.3911	0.3481	0.1508
001B	Cardiometabolic	CD59	0.1611	0.1344	0.0096	0.0363
001B	Cardiometabolic	CD69	0.7764	1.0803	-0.1357	-0.4396
001B	Cardiometabolic	CD93	0.2173	0.3499	0.2939	0.1613
001B	Cardiometabolic	CDH1	0.302	0.2464	0.1932	0.2488
001B	Cardiometabolic	CDH17	-0.0008	0.2439	0.1974	-0.0473
001B	Cardiometabolic	CDH2	-0.0226	0.1149	0.1233	-0.0142
001B	Cardiometabolic	CDH5	0.2621	0.0606	-0.1027	0.0988
001B	Cardiometabolic	CDH6	0.2104	-0.1413	0.2557	0.6074
001B	Cardiometabolic	CDHR5	0.0339	0.0864	-0.1584	-0.2109
001B	Cardiometabolic	CEACAM8	0.4964	0.7251	0.048	-0.1807
001B	Cardiometabolic	CEBPB	0.244	-0.9471	-0.7406	0.4505
001B	Cardiometabolic	CELA3A	0.1845	-0.462	-0.8153	-0.1688
001B	Cardiometabolic	CEP43	-0.423	-0.0605	0.3177	-0.0448
001B	Cardiometabolic	CES1	0.4128	0.0127	0.5222	0.9223
001B	Cardiometabolic	CGREF1	-0.0049	0.0549	0.1222	0.0624
001B	Cardiometabolic	CHEK2	0.1152	-0.0786	-0.0455	0.1483
001B	Cardiometabolic	CHI3L1	0.2887	0.4475	0.3113	0.1525
001B	Cardiometabolic	CHIT1	0.083	0.1861	-0.1269	-0.23
001B	Cardiometabolic	CHL1	0.3152	0.348	0.1063	0.0735
001B	Cardiometabolic	CHRDL2	-0.1104	-0.1757	0.2722	0.3375
001B	Cardiometabolic	CLC	-0.1023	0.3528	-0.3579	-0.813
001B	Cardiometabolic	CLEC1A	0.0763	0.2764	0.2427	0.0426
001B	Cardiometabolic	CLEC5A	0.2071	0.3484	0.4302	0.2889
001B	Cardiometabolic	CLTA	0.1231	0.713	-0.0048	-0.5947
001B	Cardiometabolic	CLUL1	0.2885	0.2661	0.3266	0.349
001B	Cardiometabolic	CNDP1	0.1928	0.4099	0.42	0.2029
001B	Cardiometabolic	CNPY2	-0.464	-0.2615	0.2487	0.0462
001B	Cardiometabolic	CNST	0.6578	1.1255	-0.6481	-1.1158
001B	Cardiometabolic	CNTN1	0.2966	0.1091	0.0749	0.2624
001B	Cardiometabolic	COL18A1	0.3218	0.2549	-0.1459	-0.079
001B	Cardiometabolic	COL1A1	0.2867	0.0895	0.1751	0.3723
001B	Cardiometabolic	COL4A1	0.2078	0.2298	0.5098	0.4878
001B	Cardiometabolic	COL6A3	0.2716	0.3813	0.3005	0.1908
001B	Cardiometabolic	COMP	0.1621	0.1039	0.1165	0.1747
001B	Cardiometabolic	COMT	0.5645	0.8162	0.0609	-0.1908
001B	Cardiometabolic	CORO1A	0.8201	0.8381	-0.1641	-0.1821
001B	Cardiometabolic	CPA1	0.3129	-0.1721	-0.4539	0.0311
001B	Cardiometabolic	CPB1	0.106	-0.1166	-0.4432	-0.2206
001B	Cardiometabolic	CR2	0.185	0.3364	0.0641	-0.0873
001B	Cardiometabolic	CRHR1	-0.4217	0.1794	0.4395	-0.1616
