comparison	panel	n_tests	n_skipped	n_q_lt_05	n_q_lt_10	min_q	max_abs_effect
PT1-PR1	Cardiometabolic	367	0	3	8	0.02853420495311561	3.4831900000000005
PT1-PR1	Cardiometabolic_II	367	0	1	2	0.031073852779438423	1.10704
PT1-PR1	Inflammation	367	0	11	16	0.005640339336324907	1.34055
PT1-PR1	Inflammation_II	369	0	1	1	0.0349873708489709	1.0589250000000001
PT1-PR1	Neurology	367	0	11	14	0.0009551540331220743	2.0359499999999997
PT1-PR1	Neurology_II	367	0	3	7	0.0011507739646821058	1.4334799999999999
PT1-PR1	Oncology	366	0	5	8	0.02298958013203428	1.3960700000000001
PT1-PR1	Oncology_II	368	0	1	6	0.03509975341492703	1.5358600000000002
PR2-PR1	Cardiometabolic	367	0	0	1	0.06499107926290311	1.7586888888888887
PR2-PR1	Cardiometabolic_II	367	0	0	0	0.19078898674164954	0.9121777777777778
PR2-PR1	Inflammation	367	0	0	1	0.06499107926290311	1.0636666666666665
PR2-PR1	Inflammation_II	369	0	0	0	0.6392540208559647	1.497588888888889
PR2-PR1	Neurology	367	0	0	1	0.06166881860520664	0.9626625
PR2-PR1	Neurology_II	367	0	0	0	0.2275155400725977	1.8240500000000002
PR2-PR1	Oncology	366	0	2	2	0.02155743316801151	1.0681600000000002
PR2-PR1	Oncology_II	368	0	0	2	0.09907811743626274	1.3479875
PT2-PT1	Cardiometabolic	367	0	2	2	0.026204439808791502	1.3060888888888889
PT2-PT1	Cardiometabolic_II	367	0	1	2	0.041548298674816575	0.9100666666666667
PT2-PT1	Inflammation	367	0	1	1	0.011050046461849927	1.1882500000000003
PT2-PT1	Inflammation_II	369	0	0	0	0.5270544252145112	2.991444444444444
PT2-PT1	Neurology	367	0	2	2	0.041548298674816575	0.77248
PT2-PT1	Neurology_II	367	0	0	0	0.22775088132528704	1.8125666666666664
PT2-PT1	Oncology	366	0	1	1	0.041548298674816575	1.0927444444444443
PT2-PT1	Oncology_II	368	0	0	0	0.24317183826631425	1.6910800000000001
PT2-PR2	Cardiometabolic	367	0	9	34	0.01485244556377444	4.6051666666666655
PT2-PR2	Cardiometabolic_II	367	0	2	28	0.003176848137485866	1.89105
PT2-PR2	Inflammation	367	0	7	51	0.01485244556377444	2.0453750000000004
PT2-PR2	Inflammation_II	369	0	1	21	0.03587780918609784	2.2119
PT2-PR2	Neurology	367	0	10	62	0.01485244556377444	2.4385199999999996
PT2-PR2	Neurology_II	367	0	3	22	0.01485244556377444	1.9432300000000002
PT2-PR2	Oncology	366	0	4	40	0.01485244556377444	2.1612
PT2-PR2	Oncology_II	368	0	1	19	0.0363662247798656	2.1246400000000003
