sample_id	subject_id	condition	is_control	sample_type	ingest_order
SSNA-001B-PR1	001B	PR1	0		0
SSNA-015-PT1	015	PT1	0		2
SSNA-008-PT2	008	PT2	0		4
SSNA-019-PR1	019	PR1	0		6
CONTROL_SAMPLE_US_CS_AS_2-1			1		10
SSNA-008-PR1	008	PR1	0		12
SSNA-018-PT1	018	PT1	0		14
SSNA-011-PT2	011	PT2	0		16
SSNA-007-PT1	007	PT1	0		18
SSNA-016-PR2	016	PR2	0		20
CONTROL_SAMPLE_US_CS_AS_2-2			1		22
SSNA-011-PR1	011	PR1	0		24
SSNA-001B-PR2	001B	PR2	0		26
SSNA-015-PT2	015	PT2	0		28
SSNA-009-PT1	009	PT1	0		30
SSNA-019-PR2	019	PR2	0		32
SSNA-015-PR1	015	PR1	0		34
SSNA-008-PR2	008	PR2	0		36
SSNA-018-PT2	018	PT2	0		38
SSNA-007-PT2	007	PT2	0		42
SSNA-018-PR1	018	PR1	0		44
SSNA-011-PR2	011	PR2	0		46
SSNA-007-PR1	007	PR1	0		48
SSNA-016-PT1	016	PT1	0		50
SSNA-009-PT2	009	PT2	0		52
SSNA-001B-PT1	001B	PT1	0		54
SSNA-015-PR2	015	PR2	0		56
SSNA-009-PR1	009	PR1	0		58
SSNA-019-PT1	019	PT1	0		60
SSNA-008-PT1	008	PT1	0		64
SSNA-018-PR2	018	PR2	0		66
SSNA-007-PR2	007	PR2	0		70
SSNA-016-PT2	016	PT2	0		72
SSNA-011-PT1	011	PT1	0		74
SSNA-001B-PT2	001B	PT2	0		76
SSNA-016-PR1	016	PR1	0		78
SSNA-009-PR2	009	PR2	0		80
SSNA-019-PT2	019	PT2	0		82
CONTROL_SAMPLE_US_CS_AS_2-4			1		61876
