SampleID;Index;OlinkID;UniProt;Assay;MissingFreq;Panel;Panel_Lot_Nr;PlateID;QC_Warning;LOD;NPX;Normalization;Assay_Warning
SSNA-001B-PR1;1;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.1219;Plate control;PASS
SSNA-015-PT1;2;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.0869;Plate control;PASS
SSNA-008-PT2;3;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.1711;Plate control;PASS
SSNA-019-PR1;4;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.1490;Plate control;PASS
SSNA-014-PR2;5;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.4825;Plate control;PASS
CONTROL_SAMPLE_US_CS_AS_2-1;12;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.2252;Plate control;PASS
SSNA-008-PR1;13;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;WARN;0.2178;0.9038;Plate control;PASS
SSNA-018-PT1;14;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.6643;Plate control;PASS
SSNA-011-PT2;15;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.6007;Plate control;PASS
SSNA-007-PT1;16;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;1.3846;Plate control;PASS
SSNA-016-PR2;17;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.4854;Plate control;PASS
CONTROL_SAMPLE_US_CS_AS_2-2;24;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.1968;Plate control;PASS
SSNA-011-PR1;25;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.6036;Plate control;PASS
SSNA-001B-PR2;26;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.2077;Plate control;PASS
SSNA-015-PT2;27;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.4065;Plate control;PASS
SSNA-009-PT1;28;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.4829;Plate control;PASS
SSNA-019-PR2;29;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;1.0803;Plate control;PASS
SSNA-015-PR1;37;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.3449;Plate control;PASS
SSNA-008-PR2;38;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.0139;Plate control;PASS
SSNA-018-PT2;39;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.6327;Plate control;PASS
SSNA-014-PT1;40;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.2999;Plate control;PASS
SSNA-007-PT2;41;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.5543;Plate control;PASS
SSNA-018-PR1;49;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.2115;Plate control;PASS
SSNA-011-PR2;50;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.6636;Plate control;PASS
SSNA-007-PR1;51;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.0354;Plate control;PASS
SSNA-016-PT1;52;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.6936;Plate control;PASS
SSNA-009-PT2;53;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.1843;Plate control;PASS
SSNA-001B-PT1;61;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.0528;Plate control;PASS
SSNA-015-PR2;62;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.4324;Plate control;PASS
SSNA-009-PR1;63;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.4994;Plate control;PASS
SSNA-019-PT1;64;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.0093;Plate control;PASS
SSNA-014-PT2;65;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.4463;Plate control;PASS
SSNA-008-PT1;73;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.3235;Plate control;PASS
SSNA-018-PR2;74;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;WARN;0.2178;0.8190;Plate control;PASS
SSNA-014-PR1;75;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.0282;Plate control;PASS
SSNA-007-PR2;76;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.1637;Plate control;PASS
SSNA-016-PT2;77;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.4667;Plate control;PASS
SSNA-011-PT1;85;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.5336;Plate control;PASS
SSNA-001B-PT2;86;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.2613;Plate control;PASS
SSNA-016-PR1;87;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.3412;Plate control;PASS
SSNA-009-PR2;88;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;-0.7800;Plate control;PASS
SSNA-019-PT2;89;OID20838;Q9UJY5;GGA1;0.6250;Neurology;B04414;20212016_SS210415;PASS;0.2178;0.3645;Plate control;PASS
SSNA-001B-PR1;1;OID20839;P30039;PBLD;0.7500;Neurology;B04414;20212016_SS210415;PASS;0.9848;0.3497;Plate control;PASS
SSNA-015-PT1;2;OID20839;P30039;PBLD;0.7500;Neurology;B04414;20212016_SS210415;PASS;0.9848;0.9192;Plate control;PASS
SSNA-008-PT2;3;OID20839;P30039;PBLD;0.7500;Neurology;B04414;20212016_SS210415;PASS;0.9848;0.4635;Plate control;PASS
SSNA-019-PR1;4;OID20839;P30039;PBLD;0.7500;Neurology;B04414;20212016_SS210415;PASS;0.9848;0.9063;Plate control;PASS
SSNA-014-PR2;5;OID20839;P30039;PBLD;0.7500;Neurology;B04414;20212016_SS210415;PASS;0.9848;-0.1990;Plate control;PASS
CONTROL_SAMPLE_US_CS_AS_2-1;12;OID20839;P30039;PBLD;0.7500;Neurology;B04414;20212016_SS210415;PASS;0.9848;1.1360;Plate control;PASS
SSNA-008-PR1;13;OID20839;P30039;PBLD;0.7500;Neurology;B04414;20212016_SS210415;WARN;0.9848;0.4750;Plate control;PASS
SSNA-018-PT1;14;OID20839;P30039;PBLD;0.7500;Neurology;B04414;20212016_SS210415;PASS;0.9848;1.0377;Plate control;PASS
SSNA-011-PT2;15;OID20839;P30039;PBLD;0.7500;Neurology;B04414;20212016_SS210415;PASS;0.9848;1.9640;Plate control;PASS
SSNA-007-PT1;16;OID20839;P30039;PBLD;0.7500;Neurology;B04414;20212016_SS210415;PASS;0.9848;0.9193;Plate control;PASS
SSNA-016-PR2;17;OID20839;P30039;PBLD;0.7500;Neurology;B04414;20212016_SS210415;PASS;0.9848;0.5912;Plate control;PASS
